SystematicID	Gene_name	Synonyms	Names
SPAC22H10.13	zym1		zym1
SPAC3A12.18	zwf1	SPAC9.01	zwf1
SPBC1778.01c	zuo1	mpp11,SPBC30D10.01	zuo1
SPCC1442.16c	zta1	SPCC285.01c	zta1
SPBC16D10.06	zrt1		zrt1
SPBC16E9.14c	zrg17		zrg17
SPAC15A10.04c	zpr1		zpr1
SPAP8A3.03	zip3	zrt2	zip3
SPCC126.09	zip2		zip2
SPAC25G10.03	zip1		zip1
SPAC23C11.14	zhf1	zhf	zhf1
SPBC1718.07c	zfs1	moc4	zfs1
SPAC31F12.01	zds1	SPAC637.14,mug88	zds1
SPNCRNA.1321	zas1-antisense-1		zas1-antisense-1
SPBC1198.04c	zas1		zas1
SPAC890.04c	ytm1		ytm1
SPNCRNA.657	yth1-antisense-1		yth1-antisense-1
SPAC227.08c	yth1		yth1
SPCC24B10.10c	yta4		yta4
SPBC543.09	yta12	m-AAA,ppp76	yta12
SPAC13A11.05	ysp2	yspII,ppp18	ysp2
SPAC17G6.16c	ysh1		ysh1
SPBP35G2.12	ysa1		ysa1
SPCC1672.05c	yrs1		yrs1
SPAPB1A10.10c	ypt71		ypt71
SPBC405.04c	ypt7		ypt7
SPAC6F6.15	ypt5		ypt5
SPAC1B3.11c	ypt4		ypt4
SPNCRNA.805	ypt3-antisense-1		ypt3-antisense-1
SPAC18G6.03	ypt3		ypt3
SPAC9E9.07c	ypt2		ypt2
SPBC1703.10	ypt1		ypt1
SPCC1795.09	yps1		yps1
SPAC637.04	ypp1		ypp1
SPAC25B8.17	ypf1	ppp81	ypf1
SPAC1782.05	ypa2	pta2	ypa2
SPAC4F10.04	ypa1	rrd1	ypa1
SPBC21B10.13c	yox1		yox1
SPAC227.11c	yos9		yos9
SPAC19A8.09	yos1		yos1
SPCC830.08c	yop1		yop1
SPNCRNA.1199	ynd1-antisense-1		ynd1-antisense-1
SPCC11E10.05c	ynd1		ynd1
SPAC11E3.02c	ync13		ync13
SPBC21B10.14	ymr31		ymr31
SPAC19A8.03	ymr1		ymr1
SPCC965.04c	yme1	ppp36	yme1
SPAC4G9.20c	ymc1		ymc1
SPBC13G1.11	ykt6		ykt6
SPAC227.06	yip5		yip5
SPCC306.02c	yip3		yip3
SPAPB17E12.02	yip12	yip1,yip1-b	yip12
SPAC19B12.12c	yip11	yip1,yip1-a	yip11
SPAC27E2.02	yih1		yih1
SPBC83.13	yhm2		yhm2
SPAC869.02c	yhb1		yhb1
SPAC227.14	yfh7		yfh7
SPAC227.03c	yea6		yea6
SPBC1734.09	yea4		yea4
SPAC9E9.12c	ybt1	abc1	ybt1
SPBP16F5.05c	yar1		yar1
SPBC19F8.03c	yap18		yap18
SPAC1F5.08c	yam8	ehs1	yam8
SPAC1F7.12	yak3	yakC,SPAC21E11.01	yak3
SPAC17G8.07	yaf9		yaf9
SPAC6G9.16c	xrc4		xrc4
SPBC18A7.01	xpa1	SPBC4F6.19c,ppp52	xpa1
SPCC24B10.14c	xlf1	nej1,mug104	xlf1
SPCPJ732.02c	xks1		xks1
SPBC405.06	xdj1		xdj1
SPCC1020.12c	xap5	SPCC14G10.06	xap5
SPCC576.01c	xan1	SPCPB1C11.04c	xan1
SPCC970.11c	wtf9		wtf9
SPCC306.10	wtf8		wtf8
SPCC736.05	wtf7		wtf7
SPCC553.05c	wtf6	SPCC553.05	wtf6
SPCC794.02	wtf5		wtf5
SPCC548.03c	wtf4	SPCC548.03	wtf4
SPCC548.02c	wtf3	meu9,SPCC548.02	wtf3
SPCC1919.06c	wtf25		wtf25
SPCC830.02	wtf24		wtf24
SPCC1620.02	wtf23		wtf23
SPCC576.16c	wtf22		wtf22
SPCC1739.15	wtf21		wtf21
SPCC1906.04	wtf20		wtf20
SPBC1706.02c	wtf2	SPBC1706.02	wtf2
SPCC1906.03	wtf19		wtf19
SPCC285.07c	wtf18		wtf18
SPCC285.06c	wtf17		wtf17
SPCC1450.08c	wtf16		wtf16
SPCC663.17	wtf15		wtf15
SPCC663.02	wtf14		wtf14
SPCC162.04c	wtf13		wtf13
SPCC622.21	wtf12		wtf12
SPNCRNA.1192	wtf11-antisense-1		wtf11-antisense-1
SPCC1281.08	wtf11	meu24	wtf11
SPCC1183.10	wtf10		wtf10
SPAC2E12.05	wtf1		wtf1
SPCC1442.07c	wss2	udp7	wss2
SPAC521.02	wss1		wss1
SPNCRNA.1031	wsp1-antisense-1		wsp1-antisense-1
SPAC4F10.15c	wsp1		wsp1
SPBC30B4.01c	wsc1	SPBC3D6.14c	wsc1
SPAC2F7.13c	wrs1		wrs1
SPBC428.17c	wpl1		wpl1
SPAC9E9.13	wos2		wos2
SPAC9G1.02	wis4	wak1,wik1	wis4
SPNCRNA.1036	wis2-antisense-1		wis2-antisense-1
SPAC1B3.03c	wis2	cyp5	wis2
SPBC409.07c	wis1	spc2,smf2,sty2	wis1
SPAC17G8.15	wip1	new1	wip1
SPAC1006.09	win1	SPAC1250.06c,SPAPJ730.01	win1
SPBC800.02	whi5	mug54	whi5
SPAC20H4.08	whi2		whi2
SPCC18B5.03	wee1		wee1
SPBC713.05	wdr83		wdr83
SPBC32H8.09	wdr8		wdr8
SPBC83.15	wdr74	nsa1	wdr74
SPAC343.17c	wdr70		wdr70
SPBC16H5.13	wdr7		wdr7
SPAC1A6.02	wdr55	SPAC23C4.21	wdr55
SPAC12G12.10	wdr21		wdr21
SPBC18H10.07	wbp4		wbp4
SPCC338.15	wbp1		wbp1
SPBC13E7.03c	vts1		vts1
SPBC3B9.10	vti1		vti1
SPCC1322.14c	vtc4		vtc4
SPAC14C4.11	vtc2	vtc3	vtc2
SPNCRNA.801	vta1-antisense-1		vta1-antisense-1
SPAC13F5.04c	vta1	vts1,new6,SPAC13F5.08	vta1
SPCC594.06c	vsl1	vam7	vsl1
SPNCRNA.838	vrs2-antisense-1		vrs2-antisense-1
SPAC4A8.08c	vrs2	vas2,ValRS2	vrs2
SPBC1709.02c	vrs1	vas1,SPBC1734.18c,ValRS1	vrs1
SPBC13E7.09	vrp1		vrp1
SPAC144.18	vrg4		vrg4
SPBC29A10.11c	vps902	vps9b	vps902
SPBC4F6.10	vps901	vps9a	vps901
SPAC17A2.06c	vps8		vps8
SPAC5D6.13	vps74	SPAPJ735.02c	vps74
SPBC29A3.05	vps71		vps71
SPBC8D2.02c	vps68		vps68
SPAC1783.02c	vps66		vps66
SPCC162.06c	vps60		vps60
SPAC630.11	vps55		vps55
SPAC2F3.10	vps54		vps54
SPAC3A12.15	vps53		vps53
SPBC336.11	vps52		vps52
SPAC3G6.10c	vps51		vps51
SPNCRNA.1152	vps5-antisense-1		vps5-antisense-1
SPCPJ732.01	vps5		vps5
SPAC2G11.03c	vps45	vas1	vps45
SPAP27G11.05c	vps41		vps41
SPNCRNA.688	vps4-antisense-1		vps4-antisense-1
SPAC2G11.06	vps4		vps4
SPBC18H10.19	vps38		vps38
SPBC3B9.09	vps36		vps36
SPCC777.13	vps35		vps35
SPBC1703.15c	vps33	SPBC2A9.01c	vps33
SPAC1142.07c	vps32	snf7	vps32
SPCC364.05	vps3		vps3
SPAC15E1.06	vps29		vps29
SPAC1B3.07c	vps28		vps28
SPAC4G9.13c	vps26	pep8	vps26
SPBC4B4.06	vps25		vps25
SPAC9E9.14	vps24		vps24
SPBC215.14c	vps20		vps20
SPAPJ696.01c	vps17		vps17
SPAC824.05	vps16		vps16
SPNCRNA.1641	vps13a-antisense-2		vps13a-antisense-2
SPNCRNA.1640	vps13a-antisense-1		vps13a-antisense-1
SPBC16C6.02c	vps1302	vps13b	vps1302
SPBC21C3.01c	vps1301	vps13a,SPBC31F10.18c	vps1301
SPAC823.12	vps11	pep5	vps11
SPNCRNA.1687	vps10-antisense-1		vps10-antisense-1
SPBC16C6.06	vps10	pep1	vps10
SPAC767.01c	vps1	SPAC9G1.14c	vps1
SPCC757.10	vph2		vph2
SPAC16E8.07c	vph1		vph1
SPCC1827.04	vms1		vms1
SPBC1685.16	vma9		vma9
SPCC965.03	vma8		vma8
SPBC3B9.18c	vma7		vma7
SPAC17A2.03c	vma6		vma6
SPAPB2B4.05	vma5		vma5
SPAC11E3.07	vma4		vma4
SPAC1B3.14	vma3		vma3
SPCC1235.16	vma21		vma21
SPAC637.05c	vma2		vma2
SPAC2C4.13	vma16		vma16
SPNCRNA.842	vma13-antisense-1		vma13-antisense-1
SPAC7D4.10	vma13		vma13
SPAC732.01	vma11		vma11
SPBC1289.05c	vma10		vma10
